time,F1,F2,F3,F4,F5,F6,F7,F8,CLR,session_id,session_name,NDCI,F8_F4,F8_change_pct,toxicity_level
2026-02-22 15:18:21.751017,255,259,294,371,411,529,599,737,2746,2026-02-22T15:18:21.748598,,0.3303249097472924,1.986522911051213,,No baseline
2026-02-22 15:18:22.116533,255,259,294,371,412,533,602,745,2757,2026-02-22T15:18:21.748598,,0.3351254480286738,2.0080862533692723,,No baseline
2026-02-22 15:18:22.852214,251,253,288,364,397,517,584,723,2711,2026-02-22T15:18:21.748598,,0.3302667893284268,1.9862637362637363,,No baseline
2026-02-22 15:18:23.587848,247,248,283,357,398,518,583,722,2716,2026-02-22T15:18:21.748598,,0.3382761816496756,2.022408963585434,,No baseline
2026-02-22 15:18:24.323834,256,259,294,372,417,538,609,754,2770,2026-02-22T15:18:21.748598,,0.3392539964476021,2.0268817204301075,,No baseline
2026-02-22 15:18:25.060833,257,260,295,373,420,540,613,757,2840,2026-02-22T15:18:21.748598,,0.3398230088495575,2.029490616621984,,No baseline
2026-02-22 15:18:25.799973,210,214,253,330,833,716,1244,1095,11857,2026-02-22T15:18:21.748598,,0.5368421052631579,3.3181818181818183,,No baseline
2026-02-22 15:18:28.005708,179,196,230,284,316,378,395,454,2676,2026-02-22T15:18:21.748598,,0.2303523035230352,1.5985915492957747,,No baseline
2026-02-22 15:18:28.741974,209,211,247,333,355,412,450,545,2547,2026-02-22T15:18:21.748598,,0.2414578587699316,1.6366366366366367,,No baseline
2026-02-22 15:18:29.478018,200,208,244,332,344,402,439,535,2520,2026-02-22T15:18:21.748598,,0.2341407151095732,1.6114457831325302,,No baseline
2026-02-22 15:18:54.308167,191,203,236,315,336,382,425,514,2485,2026-02-22T15:18:54.305484,,0.2400482509047044,1.6317460317460315,-0.9633911368015412,No / Very Low
2026-02-22 15:18:54.508579,193,203,237,317,340,389,431,521,2505,2026-02-22T15:18:54.305484,,0.2434367541766109,1.6435331230283912,0.3853564547206166,No / Very Low
2026-02-22 15:18:55.244238,194,205,239,321,342,389,432,522,2501,2026-02-22T15:18:54.305484,,0.2384341637010676,1.6261682242990654,0.5780346820809248,No / Very Low
2026-02-22 15:18:55.980663,194,205,239,320,341,388,432,521,2501,2026-02-22T15:18:54.305484,,0.2390011890606421,1.628125,0.3853564547206166,No / Very Low
2026-02-22 15:18:56.716624,193,204,238,318,341,388,431,521,2501,2026-02-22T15:18:54.305484,,0.2419547079856972,1.6383647798742138,0.3853564547206166,No / Very Low
2026-02-22 15:18:57.453824,193,204,237,318,339,386,429,519,2493,2026-02-22T15:18:54.305484,,0.2401433691756272,1.6320754716981132,0.0,No / Very Low
2026-02-22 15:18:58.189346,192,203,237,317,339,386,429,519,2497,2026-02-22T15:18:54.305484,,0.2416267942583732,1.637223974763407,0.0,No / Very Low
2026-02-22 15:18:58.925856,193,204,237,317,339,386,429,518,2495,2026-02-22T15:18:54.305484,,0.2407185628742515,1.6340694006309149,-0.1926782273603083,No / Very Low
2026-02-22 15:18:59.663392,193,204,237,317,341,389,432,522,2502,2026-02-22T15:18:54.305484,,0.2443384982121573,1.6466876971608833,0.5780346820809248,No / Very Low
2026-02-22 15:19:00.396919,194,205,239,320,342,389,433,523,2502,2026-02-22T15:18:54.305484,,0.2408066429418742,1.634375,0.7707129094412332,No / Very Low
2026-02-22 15:19:01.133660,194,205,239,319,342,388,432,522,2502,2026-02-22T15:18:54.305484,,0.2413793103448276,1.6363636363636365,0.5780346820809248,No / Very Low
2026-02-22 15:19:01.870824,194,205,239,320,343,389,433,524,2503,2026-02-22T15:18:54.305484,,0.2417061611374407,1.6375,0.9633911368015412,No / Very Low
2026-02-22 15:19:02.606901,194,206,239,320,343,390,434,524,2507,2026-02-22T15:18:54.305484,,0.2417061611374407,1.6375,0.9633911368015412,No / Very Low
2026-02-22 15:19:23.775214,197,209,243,325,353,401,443,545,2515,2026-02-22T15:19:23.772660,TEST,0.2528735632183908,1.676923076923077,5.009633911368015,Low
2026-02-22 15:19:23.955649,198,209,244,326,352,399,442,544,2506,2026-02-22T15:19:23.772660,TEST,0.2505747126436781,1.6687116564417177,4.816955684007708,No / Very Low
2026-02-22 15:19:24.691496,197,209,243,325,351,398,440,542,2499,2026-02-22T15:19:23.772660,TEST,0.2502883506343714,1.6676923076923076,4.431599229287091,No / Very Low
2026-02-22 15:19:25.427529,197,209,243,326,353,401,443,546,2506,2026-02-22T15:19:23.772660,TEST,0.2522935779816513,1.6748466257668713,5.202312138728324,Low
2026-02-22 15:19:26.164533,197,209,243,326,353,400,443,545,2508,2026-02-22T15:19:23.772660,TEST,0.2514351320321469,1.6717791411042944,5.009633911368015,Low
2026-02-22 15:19:26.900137,197,210,244,326,353,399,443,545,2504,2026-02-22T15:19:23.772660,TEST,0.2514351320321469,1.6717791411042944,5.009633911368015,Low
